americas_bvsp,americas_gsptse,americas_ipsa,americas_merv,americas_mxx,asia_000001ss,asia_aord,asia_axjo,asia_bsesn,asia_hsi,asia_jkse,asia_klse,asia_ks11,asia_n225,asia_nz50,asia_sti,asia_twii,europe_aex,europe_atx,europe_bfx,europe_fchi,europe_ftse,europe_gdat,europe_gdaxi,europe_omxspi,europe_oseax,europe_ssmi,europe_stoxx50e,us_bank,us_bkx,us_gspc,us_inds,us_insr,us_ixco,us_ixic,us_ixtc,us_mid,us_nbi,us_ndx,us_ny,us_nya,us_nyi,us_nyl,us_nyy,us_oex,us_ofin,us_rua,us_rui,us_rut,us_sox,us_tran,us_vix,us_xax,us_xmi
51185.0,14435.6,3863.92,6475.99,40937.77,2105.24,5460.3,5463.8,22702.34,22843.17,4921.4,1855.75,1998.95,14299.69,5067.41,3209.92,8930.57,403.39,2534.92,3105.16,4442.68,6635.6,1293.54,9506.35,441.72,614.79,8411.4,3182.79,2630.86,70.95,1872.18,3631.72,6139.17,2074.24,4183.9,252.01,1365.11,2455.83,3600.44,7958.93,10554.94,5765.33,7146.83,7273.04,828.58,5413.06,1122.86,1045.38,1159.96,587.72,3100.39,13.82,2620.72,1838.16
51127.0,14308.0,3853.95,6498.35,40447.96,2134.3,5477.5,5480.8,22715.33,23186.96,4765.73,1859.52,2008.61,14300.12,5115.49,3203.58,8948.1,401.9,2519.27,3088.9,4413.49,6642.0,1283.96,9454.54,439.05,614.74,8420.6,3152.86,2559.12,68.86,1833.08,3531.25,6043.91,2012.61,4054.11,245.48,1335.51,2317.41,3487.76,7819.54,10366.81,5670.06,7024.3,7154.07,811.81,5328.22,1098.49,1023.23,1127.66,569.15,3034.69,15.89,2597.96,1808.14
51867.0,14257.7,3868.35,6468.57,40380.79,2130.54,5423.5,5428.6,22628.96,23003.64,4816.58,1852.66,1997.44,13960.05,5091.43,3198.22,8908.05,395.64,2497.94,3059.55,4365.86,6561.7,1250.8,9315.29,434.44,603.15,8298.8,3116.54,2542.26,68.09,1815.69,3486.57,6010.21,1988.65,3999.73,242.67,1318.5,2251.53,3446.85,7757.56,10280.94,5640.8,6975.87,7086.73,804.9,5254.55,1087.13,1013.01,1111.44,560.34,2991.58,17.03,2578.88,1798.02
51596.0,14284.4,3893.51,6398.31,40530.69,2131.54,5353.6,5358.9,0.0,23038.8,4864.88,1851.53,1997.02,13910.16,5063.54,3214.83,8857.42,395.54,2469.62,3064.37,4384.56,6583.8,1207.82,9339.17,434.56,607.92,8312.9,3131.57,2551.0,68.59,1830.61,3508.12,6011.44,2003.38,4022.69,244.92,1324.6,2251.06,3474.63,7820.54,10359.42,5687.35,7032.85,7137.94,811.4,5257.85,1095.09,1020.76,1115.35,565.02,2991.2,16.18,2601.14,1811.77
50454.0,14303.9,3877.49,6316.44,40481.8,2101.6,5380.3,5388.2,22484.93,22671.26,4870.21,1853.88,1992.27,13996.81,5076.29,3246.32,8916.71,392.66,2440.4,3047.11,4345.35,6541.6,1186.99,9173.71,429.03,609.51,8280.5,3091.52,2557.09,69.12,1842.98,3502.2,6027.44,2014.2,4034.16,245.23,1333.19,2271.34,3487.85,7878.93,10401.98,5667.26,7056.45,7122.49,816.85,5265.69,1102.08,1027.5,1119.49,569.0,3005.42,15.61,2586.92,1822.55
51201.0,14446.5,3912.24,6449.87,40890.53,2105.12,5412.6,5420.3,22277.23,22696.01,4873.01,1845.37,1992.21,14417.68,5090.55,3253.2,8923.82,395.99,2465.68,3098.71,4405.66,6584.2,1218.0,9317.82,433.36,614.72,8322.7,3139.26,2571.23,69.29,1862.31,3553.41,6075.78,2036.28,4086.23,247.88,1348.36,2326.12,3533.09,7949.69,10505.79,5717.36,7119.45,7179.27,824.65,5349.0,1114.02,1038.62,1131.77,567.9,3069.65,14.18,2594.35,1838.6
52111.0,14500.4,3895.63,0.0,0.0,2098.89,5444.8,5454.2,22628.84,22760.24,4897.05,1850.54,1992.05,14417.53,5103.35,3253.8,8944.16,396.76,2475.7,3112.43,4431.81,6625.3,1248.61,9409.71,433.57,0.0,8375.1,3155.81,2577.37,69.01,1864.85,3566.8,6101.57,2037.13,4095.52,250.99,1351.42,2320.76,3534.53,7963.99,10532.83,5740.62,7138.26,7191.37,825.68,5383.49,1116.06,1040.21,1137.9,578.41,3085.38,13.36,2593.9,1836.25
0.0,0.0,0.0,0.0,0.0,2097.75,0.0,0.0,0.0,0.0,0.0,1852.69,2004.28,14516.27,0.0,0.0,8966.66,0.0,0.0,0.0,0.0,0.0,1248.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14493.7,3887.86,6452.99,40654.07,2065.83,0.0,0.0,22764.83,0.0,4892.29,1862.93,1999.22,14512.38,0.0,3255.83,8951.19,0.0,0.0,0.0,0.0,0.0,1248.61,0.0,0.0,0.0,0.0,0.0,2571.39,68.97,1871.89,3586.84,6094.97,2046.35,4121.55,252.97,1355.17,2374.21,3559.95,7991.5,10559.35,5747.57,7156.96,7194.84,829.15,5400.78,1120.38,1044.24,1142.31,583.48,3116.4,13.25,2609.07,1841.63
51977.0,14556.0,3878.5,6609.57,40468.2,2072.83,5467.1,5479.3,22758.37,22730.68,4898.21,1866.42,2004.22,14388.77,5104.94,3277.53,8974.71,398.3,2517.96,3145.54,4484.21,6681.8,1260.72,9600.09,441.9,624.74,8461.3,3199.69,2582.23,69.51,1879.55,3619.84,6155.69,2058.68,4161.46,254.18,1365.16,2450.78,3588.81,8009.01,10599.02,5765.38,7175.06,7210.6,831.79,5457.15,1126.33,1049.22,1155.61,589.11,3143.84,13.19,2615.32,1842.82
